data,tipo,local,detalhes
2026-02-12,Homicídio,"Rua Doutor Delfino Cintra, 806 - Vila Itapura",Relatório de diligência 436: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-27,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 812 - Barão Geraldo",Auto de constatação 608: Venda de entorpecentes em praça pública. Aguardando perícia técnica.
2026-02-05,Furto,"Avenida Anchieta, 103 - Centro",Auto de constatação 418: Furto de bicicleta em via pública. Suspeito foragido.
2026-02-24,Estelionato,"Rua Paula Bueno, 686 - Taquaral",Auto de constatação 911: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-05,Homicídio,"Rua Paula Bueno, 976 - Taquaral",Auto de constatação 252: Crime passional com arma branca. Suspeito foragido.
2026-02-06,Tráfico de Entorpecentes,"Avenida Brasil, 33 - Guanabara",Auto de constatação 662: Localização de depósito de drogas após denúncia. Suspeito foragido.
2026-02-17,Roubo,"Rua Barão de Itapura, 1575 - Guanabara",Relatório de diligência 299: Vítima abordada por dois elementos em motocicleta. Investigação em curso.
2026-02-18,Roubo,"Avenida Heitor Penteado, 262 - Taquaral",Auto de constatação 207: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-02,Tráfico de Entorpecentes,"Avenida Brasil, 1579 - Guanabara",Ocorrência registrada via COPOM 680: Indivíduo detido em flagrante com entorpecentes. Suspeito foragido.
2026-02-22,Homicídio,"Avenida Albino José Barbosa de Oliveira, 916 - Barão Geraldo",Relatório de diligência 694: Confronto entre grupos rivais. Investigação em curso.
2026-02-03,Homicídio,"Rua Maria Monteiro, 578 - Cambuí",Inquérito Policial nº 914: Confronto entre grupos rivais. Investigação em curso.
2026-02-19,Estelionato,"Rua Marechal Deodoro, 897 - Vila Itapura",Relatório de diligência 117: Fraude em ambiente digital reportada. Suspeito foragido.
2026-02-21,Estelionato,"Avenida Brasil, 1686 - Guanabara",Relatório de diligência 838: Venda de terreno inexistente. Encaminhado ao DP central.
2026-02-25,Furto,"Avenida Albino José Barbosa de Oliveira, 39 - Barão Geraldo",Auto de constatação 821: Furto de bicicleta em via pública. Suspeito foragido.
2026-02-24,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 84 - Centro",Relatório de diligência 549: Localização de depósito de drogas após denúncia. Investigação em curso.
2026-02-03,Furto,"Avenida Francisco Glicério, 35 - Centro",Relatório de diligência 517: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-03,Estelionato,"Rua Maria Monteiro, 806 - Cambuí",Ocorrência registrada via COPOM 826: Venda de terreno inexistente. Encaminhado ao DP central.
2026-02-15,Furto,"Rua Marechal Deodoro, 154 - Vila Itapura",Relatório de diligência 360: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-26,Homicídio,"Rua Sampaio Ferraz, 339 - Cambuí",Inquérito Policial nº 538: Crime passional com arma branca. Investigação em curso.
2026-02-06,Tráfico de Entorpecentes,"Rua Sampaio Ferraz, 386 - Cambuí",Ocorrência registrada via COPOM 735: Venda de entorpecentes em praça pública. Aguardando perícia técnica.
2026-02-02,Estelionato,"Avenida Albino José Barbosa de Oliveira, 2650 - Barão Geraldo",Relatório de diligência 960: Uso de documento falso para saque bancário. Investigação em curso.
2026-02-11,Estelionato,"Avenida Albino José Barbosa de Oliveira, 1788 - Barão Geraldo",Relatório de diligência 218: Golpe do falso bilhete premiado. Investigação em curso.
2026-02-04,Furto,"Avenida Andrade Neves, 2282 - Castelo",Relatório de diligência 625: Furto de fiação elétrica noturno. Encaminhado ao DP central.
2026-02-03,Roubo,"Avenida Alberto Sarmento, 302 - Castelo",Relatório de diligência 995: Subtração de veículo mediante ameaça. Investigação em curso.
2026-02-14,Homicídio,"Rua Doutor Delfino Cintra, 90 - Vila Itapura",Inquérito Policial nº 136: Disparos de arma de fogo em via pública. Aguardando perícia técnica.
2026-02-17,Furto,"Avenida Albino José Barbosa de Oliveira, 1090 - Barão Geraldo",Auto de constatação 202: Objeto subtraído de interior de veículo. Encaminhado ao DP central.
2026-02-01,Homicídio,"Avenida Heitor Penteado, 2238 - Taquaral",Auto de constatação 936: Confronto entre grupos rivais. Suspeito foragido.
2026-02-26,Furto,"Rua Doutor Delfino Cintra, 557 - Vila Itapura",Auto de constatação 477: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-03,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 1697 - Centro",Auto de constatação 238: Localização de depósito de drogas após denúncia. Encaminhado ao DP central.
2026-02-27,Roubo,"Avenida Brasil, 1309 - Guanabara",Inquérito Policial nº 657: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-25,Roubo,"Avenida Francisco Glicério, 2472 - Centro",Relatório de diligência 370: Vítima abordada por dois elementos em motocicleta. Encaminhado ao DP central.
2026-02-07,Roubo,"Rua Doutor Delfino Cintra, 280 - Vila Itapura",Inquérito Policial nº 816: Subtração de veículo mediante ameaça. Aguardando perícia técnica.
2026-02-07,Roubo,"Avenida Alberto Sarmento, 558 - Castelo",Ocorrência registrada via COPOM 222: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-01,Estelionato,"Avenida Andrade Neves, 1325 - Castelo",Relatório de diligência 830: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-24,Estelionato,"Avenida Heitor Penteado, 1876 - Taquaral",Inquérito Policial nº 235: Venda de terreno inexistente. Suspeito foragido.
2026-02-19,Homicídio,"Avenida Alberto Sarmento, 952 - Castelo",Inquérito Policial nº 150: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-16,Homicídio,"Avenida Heitor Penteado, 341 - Taquaral",Inquérito Policial nº 638: Disparos de arma de fogo em via pública. Encaminhado ao DP central.
2026-02-22,Roubo,"Rua Maria Monteiro, 1403 - Cambuí",Ocorrência registrada via COPOM 572: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-28,Estelionato,"Rua Maria Monteiro, 986 - Cambuí",Relatório de diligência 640: Golpe do falso bilhete premiado. Investigação em curso.
2026-02-02,Homicídio,"Rua Doutor Delfino Cintra, 438 - Vila Itapura",Inquérito Policial nº 853: Confronto entre grupos rivais. Investigação em curso.
2026-02-06,Homicídio,"Avenida Alberto Sarmento, 52 - Castelo",Inquérito Policial nº 373: Crime passional com arma branca. Aguardando perícia técnica.
2026-02-04,Roubo,"Avenida Albino José Barbosa de Oliveira, 3081 - Barão Geraldo",Inquérito Policial nº 333: Assalto a estabelecimento comercial. Encaminhado ao DP central.
2026-02-18,Homicídio,"Avenida Albino José Barbosa de Oliveira, 2046 - Barão Geraldo",Auto de constatação 156: Crime passional com arma branca. Investigação em curso.
2026-02-01,Roubo,"Avenida Francisco Glicério, 490 - Centro",Inquérito Policial nº 376: Vítima abordada por dois elementos em motocicleta. Aguardando perícia técnica.
2026-02-26,Homicídio,"Rua Barão de Itapura, 2607 - Guanabara",Relatório de diligência 892: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-16,Estelionato,"Avenida Alberto Sarmento, 801 - Castelo",Ocorrência registrada via COPOM 104: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-12,Estelionato,"Avenida Anchieta, 474 - Centro",Inquérito Policial nº 757: Golpe do falso bilhete premiado. Encaminhado ao DP central.
2026-02-01,Furto,"Avenida Francisco Glicério, 1857 - Centro",Ocorrência registrada via COPOM 942: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-02,Estelionato,"Rua Barão de Itapura, 815 - Guanabara",Inquérito Policial nº 381: Venda de terreno inexistente. Investigação em curso.
2026-02-11,Estelionato,"Avenida Alberto Sarmento, 313 - Castelo",Auto de constatação 661: Uso de documento falso para saque bancário. Investigação em curso.
2026-02-11,Roubo,"Avenida Heitor Penteado, 1938 - Taquaral",Auto de constatação 477: Roubo de carga em via arterial. Investigação em curso.
2026-02-18,Roubo,"Avenida Albino José Barbosa de Oliveira, 2182 - Barão Geraldo",Ocorrência registrada via COPOM 365: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-03,Furto,"Avenida Anchieta, 232 - Centro",Inquérito Policial nº 474: Subtração de pertences em residência sem arrombamento. Investigação em curso.
2026-02-25,Roubo,"Rua Paula Bueno, 913 - Taquaral",Ocorrência registrada via COPOM 531: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-27,Roubo,"Avenida Francisco Glicério, 250 - Centro",Inquérito Policial nº 282: Subtração de veículo mediante ameaça. Aguardando perícia técnica.
2026-02-11,Furto,"Avenida Albino José Barbosa de Oliveira, 3336 - Barão Geraldo",Auto de constatação 607: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-15,Estelionato,"Rua Marechal Deodoro, 649 - Vila Itapura",Relatório de diligência 945: Venda de terreno inexistente. Investigação em curso.
2026-02-25,Estelionato,"Avenida Albino José Barbosa de Oliveira, 349 - Barão Geraldo",Auto de constatação 973: Venda de terreno inexistente. Suspeito foragido.
2026-02-14,Estelionato,"Rua Barão de Itapura, 2283 - Guanabara",Relatório de diligência 317: Uso de documento falso para saque bancário. Aguardando perícia técnica.
2026-02-14,Roubo,"Rua Marechal Deodoro, 1436 - Vila Itapura",Inquérito Policial nº 571: Roubo de carga em via arterial. Suspeito foragido.
2026-02-14,Roubo,"Rua Paula Bueno, 988 - Taquaral",Relatório de diligência 925: Roubo de carga em via arterial. Investigação em curso.
2026-02-02,Homicídio,"Rua Maria Monteiro, 452 - Cambuí",Homicídio consumado. Vítima alvejada no acesso à garagem por autor que fugiu em veículo azul. A testemunha Beatriz Oliveira de Almeida presenciou a cena.
2026-02-20,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 3282 - Barão Geraldo",Ocorrência registrada via COPOM 142: Indivíduo detido em flagrante com entorpecentes. Suspeito foragido.
2026-02-20,Furto,"Rua Sampaio Ferraz, 380 - Cambuí",Relatório de diligência 119: Furto de bicicleta em via pública. Encaminhado ao DP central.
2026-02-25,Homicídio,"Avenida Heitor Penteado, 1461 - Taquaral",Inquérito Policial nº 257: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-19,Furto,"Rua Paula Bueno, 1182 - Taquaral",Relatório de diligência 625: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-20,Furto,"Rua Barão de Itapura, 2279 - Guanabara",Relatório de diligência 111: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-27,Furto,"Avenida Andrade Neves, 1400 - Castelo",Inquérito Policial nº 895: Furto de fiação elétrica noturno. Encaminhado ao DP central.
2026-02-14,Roubo,"Avenida Francisco Glicério, 2107 - Centro",Inquérito Policial nº 798: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-27,Furto,"Rua Coronel Quirino, 1572 - Cambuí",Auto de constatação 140: Subtração de pertences em residência sem arrombamento. Investigação em curso.
2026-02-23,Homicídio,"Rua Doutor Delfino Cintra, 299 - Vila Itapura",Inquérito Policial nº 279: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-05,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 1974 - Barão Geraldo",Ocorrência registrada via COPOM 307: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-05,Homicídio,"Avenida Andrade Neves, 1738 - Castelo",Relatório de diligência 307: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-21,Homicídio,"Rua Barão de Itapura, 438 - Guanabara",Relatório de diligência 750: Crime passional com arma branca. Suspeito foragido.
2026-02-11,Furto,"Rua Sampaio Ferraz, 537 - Cambuí",Ocorrência registrada via COPOM 336: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-01,Roubo,"Rua Paula Bueno, 425 - Taquaral",Auto de constatação 929: Subtração de veículo mediante ameaça. Aguardando perícia técnica.
2026-02-12,Estelionato,"Avenida Alberto Sarmento, 535 - Castelo",Ocorrência registrada via COPOM 114: Uso de documento falso para saque bancário. Suspeito foragido.
2026-02-07,Furto,"Rua Marechal Deodoro, 481 - Vila Itapura",Ocorrência registrada via COPOM 363: Objeto subtraído de interior de veículo. Encaminhado ao DP central.
2026-02-03,Estelionato,"Avenida Albino José Barbosa de Oliveira, 1313 - Barão Geraldo",Auto de constatação 833: Venda de terreno inexistente. Encaminhado ao DP central.
2026-02-12,Furto,"Avenida Albino José Barbosa de Oliveira, 330 - Barão Geraldo",Inquérito Policial nº 828: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-23,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 1286 - Barão Geraldo",Ocorrência registrada via COPOM 606: Indivíduo detido em flagrante com entorpecentes. Investigação em curso.
2026-02-13,Roubo,"Avenida Andrade Neves, 2288 - Castelo",Auto de constatação 418: Vítima abordada por dois elementos em motocicleta. Suspeito foragido.
2026-02-13,Tráfico de Entorpecentes,"Avenida Anchieta, 496 - Centro",Ocorrência registrada via COPOM 914: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-21,Roubo,"Rua Paula Bueno, 684 - Taquaral",Ocorrência registrada via COPOM 985: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-22,Estelionato,"Rua Doutor Delfino Cintra, 62 - Vila Itapura",Auto de constatação 190: Golpe do falso bilhete premiado. Aguardando perícia técnica.
2026-02-05,Furto,"Rua Coronel Quirino, 582 - Cambuí",Ocorrência registrada via COPOM 143: Furto de fiação elétrica noturno. Suspeito foragido.
2026-02-24,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 1132 - Centro",Relatório de diligência 490: Localização de depósito de drogas após denúncia. Investigação em curso.
2026-02-08,Roubo,"Avenida Andrade Neves, 1933 - Castelo",Auto de constatação 716: Assalto a estabelecimento comercial. Suspeito foragido.
2026-02-28,Homicídio,"Avenida Francisco Glicério, 1561 - Centro",Ocorrência registrada via COPOM 213: Confronto entre grupos rivais. Encaminhado ao DP central.
2026-02-02,Roubo,"Avenida Anchieta, 892 - Centro",Inquérito Policial nº 382: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-24,Furto,"Rua Maria Monteiro, 841 - Cambuí",Relatório de diligência 391: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-27,Furto,"Avenida Brasil, 915 - Guanabara",Relatório de diligência 532: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-12,Furto,"Avenida Francisco Glicério, 2498 - Centro",Inquérito Policial nº 799: Furto de bicicleta em via pública. Investigação em curso.
2026-02-27,Homicídio,"Avenida Albino José Barbosa de Oliveira, 913 - Barão Geraldo",Relatório de diligência 523: Vítima encontrada sem sinais vitais. Suspeito foragido.
2026-02-13,Homicídio,"Avenida Albino José Barbosa de Oliveira, 787 - Barão Geraldo",Relatório de diligência 695: Crime passional com arma branca. Encaminhado ao DP central.
2026-02-12,Furto,"Rua Doutor Delfino Cintra, 533 - Vila Itapura",Ocorrência registrada via COPOM 613: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-08,Homicídio,"Rua Doutor Delfino Cintra, 740 - Vila Itapura",Inquérito Policial nº 826: Crime passional com arma branca. Suspeito foragido.
2026-02-02,Homicídio,"Rua Marechal Deodoro, 1264 - Vila Itapura",Ocorrência registrada via COPOM 570: Vítima encontrada sem sinais vitais. Aguardando perícia técnica.
2026-02-22,Furto,"Rua Paula Bueno, 658 - Taquaral",Auto de constatação 324: Furto de fiação elétrica noturno. Investigação em curso.
2026-02-07,Furto,"Rua Doutor Delfino Cintra, 783 - Vila Itapura",Relatório de diligência 336: Subtração de pertences em residência sem arrombamento. Investigação em curso.
2026-02-15,Estelionato,"Rua Maria Monteiro, 1396 - Cambuí",Auto de constatação 221: Golpe do falso bilhete premiado. Investigação em curso.
2026-02-23,Furto,"Rua Paula Bueno, 357 - Taquaral",Auto de constatação 632: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-03,Estelionato,"Rua Barão de Itapura, 1846 - Guanabara",Relatório de diligência 804: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-10,Tráfico de Entorpecentes,"Rua Doutor Delfino Cintra, 846 - Vila Itapura",Inquérito Policial nº 566: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-04,Estelionato,"Avenida Albino José Barbosa de Oliveira, 1242 - Barão Geraldo",Ocorrência registrada via COPOM 422: Fraude em ambiente digital reportada. Investigação em curso.
2026-02-22,Homicídio,"Avenida Heitor Penteado, 1964 - Taquaral",Ocorrência registrada via COPOM 169: Vítima encontrada sem sinais vitais. Aguardando perícia técnica.
2026-02-25,Tráfico de Entorpecentes,"Rua Paula Bueno, 410 - Taquaral",Ocorrência registrada via COPOM 597: Localização de depósito de drogas após denúncia. Encaminhado ao DP central.
2026-02-15,Tráfico de Entorpecentes,"Avenida Heitor Penteado, 322 - Taquaral",Inquérito Policial nº 844: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-19,Roubo,"Rua Paula Bueno, 1174 - Taquaral",Inquérito Policial nº 935: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-27,Estelionato,"Rua Doutor Delfino Cintra, 294 - Vila Itapura",Auto de constatação 444: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-13,Furto,"Rua Coronel Quirino, 1399 - Cambuí",Relatório de diligência 356: Subtração de pertences em residência sem arrombamento. Aguardando perícia técnica.
2026-02-28,Roubo,"Rua Doutor Delfino Cintra, 138 - Vila Itapura",Relatório de diligência 958: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-08,Furto,"Avenida Andrade Neves, 2324 - Castelo",Ocorrência registrada via COPOM 849: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-04,Roubo,"Avenida Brasil, 1392 - Guanabara",Relatório de diligência 683: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-20,Estelionato,"Avenida Brasil, 894 - Guanabara",Ocorrência registrada via COPOM 187: Venda de terreno inexistente. Investigação em curso.
2026-02-14,Roubo,"Avenida Francisco Glicério, 1651 - Centro",Ocorrência registrada via COPOM 514: Roubo de carga em via arterial. Investigação em curso.
2026-02-25,Tráfico de Entorpecentes,"Rua Paula Bueno, 428 - Taquaral",Auto de constatação 826: Venda de entorpecentes em praça pública. Suspeito foragido.
2026-02-11,Roubo,"Avenida Alberto Sarmento, 327 - Castelo",Inquérito Policial nº 708: Assalto a estabelecimento comercial. Encaminhado ao DP central.
2026-02-19,Roubo,"Avenida Albino José Barbosa de Oliveira, 924 - Barão Geraldo",Auto de constatação 302: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-20,Roubo,"Rua Doutor Delfino Cintra, 611 - Vila Itapura",Auto de constatação 790: Subtração de veículo mediante ameaça. Suspeito foragido.
2026-02-08,Homicídio,"Rua Doutor Delfino Cintra, 424 - Vila Itapura",Inquérito Policial nº 545: Disparos de arma de fogo em via pública. Investigação em curso.
2026-02-27,Roubo,"Rua Doutor Delfino Cintra, 502 - Vila Itapura",Inquérito Policial nº 514: Roubo de carga em via arterial. Encaminhado ao DP central.
2026-02-03,Roubo,"Avenida Brasil, 1702 - Guanabara",Ocorrência registrada via COPOM 507: Vítima abordada por dois elementos em motocicleta. Encaminhado ao DP central.
2026-02-10,Tráfico de Entorpecentes,"Rua Marechal Deodoro, 1042 - Vila Itapura",Inquérito Policial nº 455: Apreensão de substâncias análogas à cocaína. Investigação em curso.
2026-02-02,Roubo,"Avenida Andrade Neves, 60 - Castelo",Ocorrência registrada via COPOM 777: Assalto a estabelecimento comercial. Encaminhado ao DP central.
